,1
0,0.0
1,0.09118864665892876
2,0.6295050461460138
3,0.552169100257106
4,0.0
5,0.0
6,0.9370106283828795
7,0.0
8,0.7363463171318932
9,0.0
10,0.7819419569479226
11,0.3243725662749448
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.342481264144317
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.030434194403113672
24,0.0
25,0.0
26,0.9785933806891712
27,0.0
28,0.0
29,0.0
30,0.13126490322705153
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.4968002632296371
38,0.25769679593775274
39,0.0
40,0.42420716862319163
41,0.5383729643318335
42,0.0
43,0.40609717048897437
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.3399515952926815
57,0.4408319661098796
58,0.16250788282868128
59,1.0958458707704832
60,0.0
61,0.0
62,0.05340663798070806
63,0.0
64,0.09389076097938862
65,0.0
66,0.0
67,0.0
68,0.0
69,0.21511651869148196
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.7230704870938093
79,0.4765031244091817
80,0.686344818464574
81,0.0
82,0.0
83,0.0
84,0.0
85,0.03896970377699888
86,0.0
87,0.24486029982114743
88,0.09550141135029859
89,0.07727606048558061
90,0.0
91,0.7607489547545669
92,0.0
93,0.037785649534886515
94,0.0
95,0.0
96,0.0
97,0.4430815275447005
98,0.0
99,0.11888550555580302
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.6444427219240907
106,1.593718406114534
107,0.0
108,0.14314081662122846
109,0.0
110,0.0
111,0.5709660350764175
112,0.048380085326939555
113,1.8695402787568336
114,0.0
115,0.0
116,0.0
117,0.0
118,0.3807351394968911
119,0.0
120,0.0
121,0.0
122,0.12776435860483457
123,0.0
124,0.15235749350571892
125,0.6658380615463823
126,0.14963539267035467
127,0.21746021026885393
128,0.0
129,1.8623645410804004
130,0.9276727448453033
131,0.0
132,0.0
133,0.0
134,0.0
135,0.38140424292924324
136,0.8299494624818645
137,0.17415359491637325
138,0.0
139,0.0
140,0.0
