,V0,V0_Dmean,V0_Dstd,V0.5,V0.5_Dmean,V0.5_Dstd,V1.0,V1.0_Dmean,V1.0_Dstd,V2.0,V2.0_Dmean,V2.0_Dstd,D2%,D2%_Dmean,D2%_Dstd,D3%,D3%_Dmean,D3%_Dstd
VMAT,99.749,2.1104891272680253,0.9722095687641034,96.912,2.16265484812031,0.9363266411733437,87.604,2.309034220132571,0.8629669696871671,50.954,2.8672233535295413,0.6919144738273099,4.334291828174505,4.821072604567273,0.43488132408181734,4.12049289013564,4.6210836018282775,0.4552697963536209
IMRT,100.0,2.101892746583931,0.6276915988192886,99.909,2.1034457960605653,0.6258581429855238,97.245,2.1379519764161765,0.5978065287026834,54.116,2.559445666138405,0.43343535822727414,3.4916206394872598,3.775085552761394,0.2564898348123087,3.3634169702304986,3.6583003897859867,0.26755583890579654
SOBP,99.991,7.83366849405471,2.9509975735392713,99.954,7.83647453627161,2.9479352767775624,99.844,7.844242239574837,2.940246707213171,98.96,7.900055519068129,2.89304880146767,14.469311559093704,15.83944867309625,1.2795472153178893,13.854225777565798,15.272598482911295,1.3208885186295598
PBS,100.0,1.8365437061462317,0.43800191426970664,99.986,1.8367432806520334,0.4377064280599607,97.893,1.857249092994581,0.4187815013220377,34.431,2.312138845637905,0.25692059132521067,2.787713742584557,2.977093887707713,0.17049596903711792,2.7001093903392035,2.898370459618162,0.17883912879327063
