,V0,V0_Dmean,V0_Dstd,V0.5,V0.5_Dmean,V0.5_Dstd,V1.0,V1.0_Dmean,V1.0_Dstd,V2.0,V2.0_Dmean,V2.0_Dstd,D2%,D2%_Dmean,D2%_Dstd,D3%,D3%_Dmean,D3%_Dstd
VMAT,99.901,2.1194302825458484,1.0443998076687306,96.532,2.1821268695053293,1.0058318258773806,86.187,2.350397527276685,0.9308852491352804,50.041,2.9463487676233884,0.7666296988142773,4.571256707304073,5.126984275178573,0.5075602953491201,4.3314737593731705,4.899212758904628,0.5264174520658252
IMRT,100.0,2.108053620279165,0.6915464605914476,99.806,2.1113547051280954,0.6881393871909591,96.072,2.161046347741165,0.6521652152140127,53.321,2.619022149405828,0.4876114048618749,3.6774637640870456,4.0055767338273185,0.3034597986630692,3.5227385887665412,3.8691106939538416,0.3151068451800702
SOBP,99.999,7.8978168416037855,3.0619502305526582,99.968,7.9001607296174186,3.059529228177686,99.858,7.908014141855811,3.0520416043231022,99.002,7.962354134834122,3.008390908377795,14.853091584606457,16.438899469529076,1.497972427067059,14.175831734061703,15.790492473154812,1.532762078670415
PBS,100.0,1.8477609495716265,0.4909869178394626,99.97,1.84818082969865,0.49046077929175913,97.034,1.8778878419940621,0.46628166514201724,35.991,2.367825217422653,0.30344294464237404,2.9384349306976745,3.1662854572111954,0.21099869900500817,2.8350938622460724,3.0720416803744457,0.21849497359477527
