"","LIVER","TransferredDose_IMRT_Field4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","100.0"
"0.20","99.27907"
"0.30","92.72848"
"0.40","85.49987"
"0.50","79.68992"
"0.60","74.85099"
"0.70","70.74682"
"0.80","66.72812"
"0.90","62.64068"
"1.00","58.80643"
"1.10","55.57569"
"1.20","52.91961"
"1.30","50.6292"
"1.40","48.65513"
"1.50","46.99569"
"1.60","45.57011"
"1.70","44.32709"
"1.80","43.27142"
"1.90","42.35954"
"2.00","41.57167"
"2.10","40.89039"
"2.20","40.30035"
"2.30","39.77415"
"2.40","39.30835"
"2.50","38.89082"
"2.60","38.51391"
"2.70","38.16857"
"2.80","37.85593"
"2.90","37.56929"
"3.00","37.29905"
"3.10","37.04676"
"3.20","36.80733"
"3.30","36.57937"
"3.40","36.36244"
"3.50","36.15487"
"3.60","35.95687"
"3.70","35.76345"
"3.80","35.57759"
"3.90","35.39211"
"4.00","35.21147"
"4.10","35.03144"
"4.20","34.85038"
"4.30","34.67336"
"4.40","34.49748"
"4.50","34.32105"
"4.60","34.13795"
"4.70","33.94031"
"4.80","33.73103"
"4.90","33.51591"
"5.00","33.29802"
"5.10","33.07234"
"5.20","32.84777"
"5.30","32.61432"
"5.40","32.36965"
"5.50","32.12467"
"5.60","31.87724"
"5.70","31.61417"
"5.80","31.34156"
"5.90","31.05679"
"6.00","30.76554"
"6.10","30.45874"
"6.20","30.15072"
"6.30","29.83726"
"6.40","29.49957"
"6.50","29.1512"
"6.60","28.79732"
"6.70","28.43532"
"6.80","28.08113"
"6.90","27.71916"
"7.00","27.35319"
"7.10","26.98845"
"7.20","26.62503"
"7.30","26.25289"
"7.40","25.87105"
"7.50","25.48575"
"7.60","25.09118"
"7.70","24.68614"
"7.80","24.2636"
"7.90","23.81126"
"8.00","23.35614"
"8.10","22.90066"
"8.20","22.44505"
"8.30","21.98993"
"8.40","21.55744"
"8.50","21.15159"
"8.60","20.76241"
"8.70","20.38009"
"8.80","20.01222"
"8.90","19.66161"
"9.00","19.32196"
"9.10","18.98836"
"9.20","18.66421"
"9.30","18.34432"
