"","LIVER","TransferredDose_IMRT_Field1"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","100.0"
"0.20","97.91449"
"0.30","88.99128"
"0.40","80.50675"
"0.50","72.94866"
"0.60","66.50646"
"0.70","61.42585"
"0.80","57.29456"
"0.90","53.83791"
"1.00","51.04183"
"1.10","48.74743"
"1.20","46.84555"
"1.30","45.27194"
"1.40","43.90094"
"1.50","42.77821"
"1.60","41.79855"
"1.70","40.94597"
"1.80","40.20584"
"1.90","39.55473"
"2.00","39.00159"
"2.10","38.51002"
"2.20","38.06382"
"2.30","37.67111"
"2.40","37.3065"
"2.50","36.96643"
"2.60","36.6437"
"2.70","36.35804"
"2.80","36.08989"
"2.90","35.83537"
"3.00","35.59084"
"3.10","35.35607"
"3.20","35.1235"
"3.30","34.90046"
"3.40","34.68486"
"3.50","34.4731"
"3.60","34.26127"
"3.70","34.04868"
"3.80","33.83043"
"3.90","33.60112"
"4.00","33.35668"
"4.10","33.09643"
"4.20","32.80605"
"4.30","32.47081"
"4.40","32.06755"
"4.50","31.54247"
"4.60","30.90969"
"4.70","30.20604"
"4.80","29.48463"
"4.90","28.74655"
"5.00","27.99465"
"5.10","27.25418"
"5.20","26.50831"
"5.30","25.76937"
"5.40","25.0398"
"5.50","24.31682"
"5.60","23.5949"
"5.70","22.89859"
"5.80","22.26341"
"5.90","21.69252"
"6.00","21.14588"
"6.10","20.6304"
"6.20","20.14543"
"6.30","19.67493"
"6.40","19.21676"
"6.50","18.7878"
"6.60","18.37919"
"6.70","17.98747"
"6.80","17.61827"
"6.90","17.26731"
"7.00","16.9276"
"7.10","16.59957"
"7.20","16.2838"
"7.30","15.98199"
"7.40","15.69016"
"7.50","15.40308"
"7.60","15.12198"
"7.70","14.84515"
"7.80","14.58123"
"7.90","14.32489"
"8.00","14.07006"
"8.10","13.8136"
"8.20","13.56236"
"8.30","13.31512"
"8.40","13.07189"
"8.50","12.84156"
"8.60","12.62995"
"8.70","12.43725"
"8.80","12.25076"
"8.90","12.07166"
"9.00","11.90348"
"9.10","11.74242"
"9.20","11.58828"
"9.30","11.43987"
