"","LIVER","TransferredDose_IMRT_Field3"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","99.69766"
"0.20","90.56878"
"0.30","78.77528"
"0.40","71.0581"
"0.50","65.3674"
"0.60","60.44679"
"0.70","56.36284"
"0.80","52.99055"
"0.90","50.14633"
"1.00","47.93964"
"1.10","46.21782"
"1.20","44.78135"
"1.30","43.62105"
"1.40","42.72289"
"1.50","41.95336"
"1.60","41.25799"
"1.70","40.73576"
"1.80","40.27813"
"1.90","39.86373"
"2.00","39.48386"
"2.10","39.12525"
"2.20","38.7961"
"2.30","38.51144"
"2.40","38.26019"
"2.50","38.03215"
"2.60","37.81836"
"2.70","37.61751"
"2.80","37.42276"
"2.90","37.23252"
"3.00","37.04716"
"3.10","36.86463"
"3.20","36.6833"
"3.30","36.50483"
"3.40","36.33093"
"3.50","36.15753"
"3.60","35.98757"
"3.70","35.81881"
"3.80","35.64441"
"3.90","35.45862"
"4.00","35.25742"
"4.10","35.0332"
"4.20","34.77126"
"4.30","34.47971"
"4.40","34.15604"
"4.50","33.79259"
"4.60","33.39544"
"4.70","32.97596"
"4.80","32.55262"
"4.90","32.11998"
"5.00","31.68081"
"5.10","31.22465"
"5.20","30.74868"
"5.30","30.25262"
"5.40","29.74261"
"5.50","29.23227"
"5.60","28.69224"
"5.70","28.11514"
"5.80","27.53649"
"5.90","26.94805"
"6.00","26.35911"
"6.10","25.77597"
"6.20","25.20404"
"6.30","24.68274"
"6.40","24.19602"
"6.50","23.72811"
"6.60","23.31046"
"6.70","22.90464"
"6.80","22.51095"
"6.90","22.13434"
"7.00","21.77229"
"7.10","21.41643"
"7.20","21.07824"
"7.30","20.7476"
"7.40","20.43145"
"7.50","20.1187"
"7.60","19.81065"
"7.70","19.51041"
"7.80","19.2148"
"7.90","18.90907"
"8.00","18.61327"
"8.10","18.33758"
"8.20","18.07571"
"8.30","17.82321"
"8.40","17.5759"
"8.50","17.33544"
"8.60","17.09627"
"8.70","16.85818"
"8.80","16.6276"
"8.90","16.40004"
"9.00","16.17785"
"9.10","15.9531"
"9.20","15.73091"
"9.30","15.50679"
"9.40","15.28839"
"9.50","15.06694"
"9.60","14.84823"
"9.70","14.62677"
"9.80","14.40686"
"9.90","14.18678"
"10.00","13.96346"
"10.10","13.73265"
"10.20","13.49515"
"10.30","13.25103"
"10.40","13.00096"
"10.50","12.74776"
"10.60","12.48299"
"10.70","12.2116"
"10.80","11.92771"
"10.90","11.63295"
"11.00","11.33742"
"11.10","11.03713"
"11.20","10.73163"
"11.30","10.42117"
"11.40","10.10784"
"11.50","9.7935"
"11.60","9.47811"
"11.70","9.16343"
"11.80","8.8519"
"11.90","8.54698"
"12.00","8.2458"
"12.10","7.95762"
"12.20","7.6835"
"12.30","7.41833"
"12.40","7.15479"
"12.50","6.90184"
"12.60","6.65923"
"12.70","6.42641"
"12.80","6.19985"
"12.90","5.97598"
"13.00","5.76186"
"13.10","5.55347"
"13.20","5.35198"
"13.30","5.15402"
"13.40","4.96453"
"13.50","4.78102"
"13.60","4.6001"
"13.70","4.42007"
"13.80","4.24318"
"13.90","4.07071"
"14.00","3.90651"
"14.10","3.74536"
"14.20","3.5831"
"14.30","3.42494"
"14.40","3.27182"
"14.50","3.12121"
"14.60","2.96869"
"14.70","2.81575"
"14.80","2.66414"
"14.90","2.51297"
"15.00","2.36032"
"15.10","2.2125"
"15.20","2.06804"
"15.30","1.92757"
"15.40","1.79401"
"15.50","1.6681"
"15.60","1.54176"
"15.70","1.42079"
"15.80","1.30435"
"15.90","1.19047"
"16.00","1.07974"
"16.10","0.97384"
"16.20","0.86937"
"16.30","0.77264"
"16.40","0.68903"
"16.50","0.61436"
"16.60","0.54737"
"16.70","0.48817"
"16.80","0.43451"
"16.90","0.38702"
"17.00","0.34381"
"17.10","0.30368"
"17.20","0.26681"
"17.30","0.23609"
"17.40","0.21059"
"17.50","0.18901"
"17.60","0.17032"
"17.70","0.15278"
"17.80","0.13588"
"17.90","0.12042"
"18.00","0.10606"
"18.10","0.09327"
"18.20","0.08159"
"18.30","0.07134"
"18.40","0.06186"
"18.50","0.05301"
"18.60","0.04445"
"18.70","0.03711"
"18.80","0.03135"
"18.90","0.02602"
"19.00","0.02176"
"19.10","0.01802"
"19.20","0.01494"
"19.30","0.01244"
"19.40","0.01004"
"19.50","0.00778"
"19.60","0.00602"
"19.70","0.00461"
"19.80","0.00325"
"19.90","0.00207"
"20.00","0.00113"
"20.10","5.4E-4"
"20.20","1.8E-4"
"20.30","3.0E-5"
"20.40","0.0"
