"","LIVER","TransferredDose_VMAT1arc"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"28.60","31.66913"
"28.70","31.5023"
"28.80","31.33662"
"28.90","31.17104"
"29.00","31.00523"
"29.10","30.83645"
"29.20","30.67108"
"29.30","30.50652"
"29.40","30.34503"
"29.50","30.18595"
"29.60","30.02699"
"29.70","29.86744"
"29.80","29.7086"
"29.90","29.55116"
"30.00","29.39358"
"30.10","29.23535"
"30.20","29.07769"
"30.30","28.92051"
"30.40","28.76483"
"30.50","28.60808"
"30.60","28.4523"
"30.70","28.29729"
"30.80","28.14269"
"30.90","27.98858"
"31.00","27.83511"
"31.10","27.68159"
"31.20","27.52867"
"31.30","27.37851"
"31.40","27.22766"
"31.50","27.0787"
"31.60","26.93013"
"31.70","26.78306"
"31.80","26.63774"
"31.90","26.49227"
"32.00","26.3477"
"32.10","26.20349"
"32.20","26.05955"
"32.30","25.91595"
"32.40","25.77251"
"32.50","25.6304"
"32.60","25.48991"
"32.70","25.35089"
"32.80","25.21229"
"32.90","25.07433"
"33.00","24.93713"
"33.10","24.79996"
"33.20","24.6648"
"33.30","24.5299"
"33.40","24.3953"
"33.50","24.26188"
"33.60","24.12709"
"33.70","23.99396"
"33.80","23.86246"
"33.90","23.732"
"34.00","23.60173"
"34.10","23.47182"
"34.20","23.34292"
"34.30","23.21597"
"34.40","23.08952"
"34.50","22.96485"
"34.60","22.84148"
"34.70","22.71824"
"34.80","22.59418"
"34.90","22.47275"
"35.00","22.35063"
"35.10","22.23137"
"35.20","22.11115"
"35.30","21.99162"
"35.40","21.87375"
"35.50","21.75725"
"35.60","21.64237"
"35.70","21.52822"
"35.80","21.4156"
"35.90","21.30343"
"36.00","21.19292"
"36.10","21.08365"
"36.20","20.97503"
"36.30","20.86673"
"36.40","20.7594"
"36.50","20.65156"
"36.60","20.54388"
"36.70","20.43727"
"36.80","20.33225"
"36.90","20.22679"
"37.00","20.12361"
"37.10","20.02152"
"37.20","19.91976"
