"","LIVER","TransferredDose_IMRT_Field2"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","99.9626"
"0.20","94.71052"
"0.30","85.04915"
"0.40","77.66926"
"0.50","72.16855"
"0.60","67.48861"
"0.70","63.35083"
"0.80","59.7214"
"0.90","56.70664"
"1.00","54.30122"
"1.10","52.35768"
"1.20","50.76373"
"1.30","49.38376"
"1.40","48.26924"
"1.50","47.27658"
"1.60","46.42652"
"1.70","45.68627"
"1.80","45.0072"
"1.90","44.37818"
"2.00","43.84154"
"2.10","43.37096"
"2.20","42.9399"
"2.30","42.55454"
"2.40","42.19249"
"2.50","41.85724"
"2.60","41.54854"
"2.70","41.26089"
"2.80","40.99353"
"2.90","40.73501"
"3.00","40.49463"
"3.10","40.26847"
"3.20","40.04829"
"3.30","39.83996"
"3.40","39.63797"
"3.50","39.44062"
"3.60","39.2527"
"3.70","39.06793"
"3.80","38.88519"
"3.90","38.70693"
"4.00","38.52901"
"4.10","38.34834"
"4.20","38.1659"
"4.30","37.98914"
"4.40","37.81576"
"4.50","37.64873"
"4.60","37.48205"
"4.70","37.31761"
"4.80","37.15337"
"4.90","36.98607"
"5.00","36.82174"
"5.10","36.6559"
"5.20","36.48569"
"5.30","36.31216"
"5.40","36.13417"
"5.50","35.93348"
"5.60","35.72905"
"5.70","35.51175"
"5.80","35.28054"
"5.90","35.02912"
"6.00","34.75018"
"6.10","34.44338"
"6.20","34.10723"
"6.30","33.74366"
"6.40","33.3522"
"6.50","32.94053"
"6.60","32.51495"
"6.70","32.08608"
"6.80","31.65101"
"6.90","31.22074"
"7.00","30.79051"
"7.10","30.36599"
"7.20","29.94498"
"7.30","29.52263"
"7.40","29.10975"
"7.50","28.70068"
"7.60","28.29321"
"7.70","27.88192"
"7.80","27.46618"
"7.90","27.04048"
"8.00","26.60105"
"8.10","26.151"
"8.20","25.70495"
"8.30","25.26934"
"8.40","24.83359"
"8.50","24.39471"
"8.60","23.9581"
"8.70","23.5279"
"8.80","23.09979"
"8.90","22.67644"
"9.00","22.26119"
"9.10","21.86609"
"9.20","21.48396"
"9.30","21.11495"
"9.40","20.76142"
"9.50","20.4307"
"9.60","20.12095"
"9.70","19.82559"
"9.80","19.54112"
"9.90","19.26751"
"10.00","19.00469"
"10.10","18.74997"
"10.20","18.50357"
"10.30","18.26349"
"10.40","18.02765"
"10.50","17.79542"
"10.60","17.57068"
"10.70","17.34927"
"10.80","17.13362"
"10.90","16.92235"
"11.00","16.71292"
"11.10","16.5023"
"11.20","16.29393"
"11.30","16.0884"
"11.40","15.8832"
"11.50","15.67976"
"11.60","15.47377"
"11.70","15.26646"
"11.80","15.0592"
"11.90","14.84954"
"12.00","14.63962"
"12.10","14.42078"
"12.20","14.19815"
"12.30","13.97499"
"12.40","13.7424"
"12.50","13.50379"
"12.60","13.25819"
"12.70","13.00562"
"12.80","12.74938"
"12.90","12.4926"
"13.00","12.23141"
"13.10","11.96484"
"13.20","11.69345"
"13.30","11.41796"
"13.40","11.13965"
"13.50","10.86121"
"13.60","10.57803"
"13.70","10.28919"
"13.80","9.9994"
"13.90","9.70784"
"14.00","9.41821"
"14.10","9.13506"
"14.20","8.85415"
"14.30","8.57415"
"14.40","8.29523"
"14.50","8.02081"
"14.60","7.74871"
"14.70","7.47866"
"14.80","7.20699"
"14.90","6.93834"
"15.00","6.67167"
"15.10","6.41257"
"15.20","6.15751"
"15.30","5.90412"
"15.40","5.65531"
"15.50","5.40884"
"15.60","5.16991"
"15.70","4.93219"
"15.80","4.69787"
"15.90","4.46844"
"16.00","4.24365"
"16.10","4.02563"
"16.20","3.80932"
"16.30","3.59783"
"16.40","3.38774"
"16.50","3.1777"
"16.60","2.97616"
"16.70","2.78281"
"16.80","2.59459"
"16.90","2.41635"
"17.00","2.25039"
"17.10","2.09391"
"17.20","1.94913"
"17.30","1.81448"
"17.40","1.68736"
"17.50","1.56899"
"17.60","1.45664"
"17.70","1.34835"
"17.80","1.2458"
"17.90","1.14898"
"18.00","1.05779"
"18.10","0.97023"
"18.20","0.88804"
"18.30","0.80962"
"18.40","0.73397"
"18.50","0.66149"
"18.60","0.59347"
"18.70","0.52817"
"18.80","0.46499"
"18.90","0.40531"
"19.00","0.34913"
"19.10","0.29673"
"19.20","0.2483"
"19.30","0.2049"
"19.40","0.16841"
"19.50","0.13865"
"19.60","0.11503"
"19.70","0.09663"
"19.80","0.08208"
"19.90","0.0707"
"20.00","0.06244"
"20.10","0.05662"
"20.20","0.05213"
"20.30","0.04812"
"20.40","0.04432"
"20.50","0.04079"
"20.60","0.03706"
"20.70","0.03412"
"20.80","0.03156"
"20.90","0.02914"
"21.00","0.02688"
"21.10","0.02501"
"21.20","0.0232"
"21.30","0.02158"
"21.40","0.0202"
"21.50","0.01879"
"21.60","0.01742"
"21.70","0.01621"
"21.80","0.0149"
"21.90","0.01368"
"22.00","0.0124"
"22.10","0.01129"
"22.20","0.01039"
"22.30","0.00965"
"22.40","0.00887"
"22.50","0.00814"
"22.60","0.00741"
"22.70","0.00673"
"22.80","0.00618"
"22.90","0.00565"
"23.00","0.00512"
"23.10","0.00457"
"23.20","0.00397"
"23.30","0.00339"
"23.40","0.00259"
"23.50","0.00217"
"23.60","0.00187"
"23.70","0.00168"
"23.80","0.00142"
"23.90","0.00126"
"24.00","0.00102"
"24.10","8.1E-4"
"24.20","6.2E-4"
"24.30","4.4E-4"
"24.40","3.0E-4"
"24.50","1.3E-4"
"24.60","0.0"
