"","LIVER, MALE2","TransferredDose_SOBP_F2"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","62.72623"
"0.20","61.84398"
"0.30","61.28977"
"0.40","60.8826"
"0.50","60.54832"
"0.60","60.26459"
"0.70","60.02017"
"0.80","59.80124"
"0.90","59.60354"
"1.00","59.42419"
"1.10","59.25713"
"1.20","59.10139"
"1.30","58.95583"
"1.40","58.81786"
"1.50","58.68736"
"1.60","58.56343"
"1.70","58.44537"
"1.80","58.33221"
"1.90","58.22404"
"2.00","58.11997"
"2.10","58.02022"
"2.20","57.92247"
"2.30","57.82898"
"2.40","57.73804"
"2.50","57.65088"
"2.60","57.56514"
"2.70","57.48179"
"2.80","57.40181"
"2.90","57.32234"
"3.00","57.24537"
"3.10","57.1706"
"3.20","57.09739"
"3.30","57.02563"
"3.40","56.95507"
"3.50","56.88647"
"3.60","56.82035"
"3.70","56.75448"
"3.80","56.68955"
"3.90","56.62629"
"4.00","56.56391"
"4.10","56.50277"
"4.20","56.44227"
"4.30","56.38334"
"4.40","56.32537"
"4.50","56.26858"
"4.60","56.21282"
"4.70","56.15735"
"4.80","56.10308"
"4.90","56.0492"
"5.00","55.99613"
"5.10","55.94425"
"5.20","55.89319"
"5.30","55.84162"
"5.40","55.79217"
"5.50","55.74287"
"5.60","55.69419"
"5.70","55.64617"
"5.80","55.59849"
"5.90","55.55143"
"6.00","55.50549"
"6.10","55.45987"
"6.20","55.41446"
"6.30","55.3695"
"6.40","55.32507"
"6.50","55.28068"
"6.60","55.23811"
"6.70","55.19535"
"6.80","55.15296"
"6.90","55.11067"
"7.00","55.06985"
"7.10","55.028"
"7.20","54.98736"
"7.30","54.94662"
"7.40","54.90703"
"7.50","54.86718"
"7.60","54.8278"
"7.70","54.78882"
"7.80","54.7497"
"7.90","54.71167"
"8.00","54.67445"
"8.10","54.63696"
"8.20","54.59995"
"8.30","54.56364"
"8.40","54.52696"
"8.50","54.49056"
"8.60","54.45519"
"8.70","54.41954"
"8.80","54.38475"
"8.90","54.34949"
"9.00","54.31499"
"9.10","54.28049"
"9.20","54.24615"
"9.30","54.2126"
"9.40","54.17888"
"9.50","54.14538"
"9.60","54.11223"
"9.70","54.0794"
"9.80","54.04684"
"9.90","54.01418"
"10.00","53.98193"
"10.10","53.94959"
"10.20","53.91786"
"10.30","53.88584"
"10.40","53.85417"
"10.50","53.82347"
"10.60","53.79228"
"10.70","53.76126"
"10.80","53.7297"
"10.90","53.69886"
"11.00","53.66903"
"11.10","53.63853"
"11.20","53.60854"
"11.30","53.57879"
