"","LIVER, MALE2","TransferredDose_SOBP_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"28.50","8.91155"
"28.60","8.90732"
"28.70","8.90312"
"28.80","8.89902"
"28.90","8.89504"
"29.00","8.89067"
"29.10","8.88629"
"29.20","8.88202"
"29.30","8.87755"
"29.40","8.8734"
"29.50","8.86934"
"29.60","8.86502"
"29.70","8.86082"
"29.80","8.85662"
"29.90","8.85244"
"30.00","8.84815"
"30.10","8.84388"
"30.20","8.83972"
"30.30","8.83563"
"30.40","8.83152"
"30.50","8.8271"
"30.60","8.82309"
"30.70","8.81911"
"30.80","8.81511"
"30.90","8.81123"
"31.00","8.80698"
"31.10","8.80277"
"31.20","8.79854"
"31.30","8.79435"
"31.40","8.79044"
"31.50","8.78631"
"31.60","8.78251"
"31.70","8.7787"
"31.80","8.77461"
"31.90","8.77073"
"32.00","8.76659"
"32.10","8.76261"
"32.20","8.75871"
"32.30","8.7549"
"32.40","8.75129"
"32.50","8.74729"
"32.60","8.74354"
"32.70","8.73958"
"32.80","8.73563"
"32.90","8.73166"
"33.00","8.72786"
"33.10","8.72392"
"33.20","8.72012"
"33.30","8.71619"
"33.40","8.71252"
"33.50","8.70864"
"33.60","8.70492"
"33.70","8.70105"
"33.80","8.69718"
"33.90","8.69343"
"34.00","8.68963"
"34.10","8.68584"
"34.20","8.68186"
"34.30","8.67805"
"34.40","8.67427"
"34.50","8.67055"
"34.60","8.66669"
"34.70","8.66279"
"34.80","8.65904"
"34.90","8.65525"
"35.00","8.65164"
"35.10","8.64786"
"35.20","8.64396"
"35.30","8.64048"
"35.40","8.63686"
"35.50","8.63307"
"35.60","8.62936"
"35.70","8.62577"
"35.80","8.62225"
"35.90","8.61858"
"36.00","8.61475"
"36.10","8.61102"
"36.20","8.6073"
"36.30","8.60346"
"36.40","8.59989"
"36.50","8.5963"
"36.60","8.59263"
"36.70","8.58897"
"36.80","8.58517"
"36.90","8.58154"
"37.00","8.57794"
"37.10","8.57439"
"37.20","8.57079"
"37.30","8.56725"
"37.40","8.56362"
"37.50","8.55987"
"37.60","8.55624"
"37.70","8.55275"
"37.80","8.54895"
"37.90","8.54539"
"38.00","8.5418"
"38.10","8.53819"
"38.20","8.53447"
"38.30","8.53071"
"38.40","8.52708"
