"","LIVER, MALE2","TransferredDose_SOBP_F1"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","13.37252"
"0.20","12.97324"
"0.30","12.73213"
"0.40","12.56209"
"0.50","12.42451"
"0.60","12.30908"
"0.70","12.21075"
"0.80","12.12304"
"0.90","12.04527"
"1.00","11.97565"
"1.10","11.9121"
"1.20","11.85362"
"1.30","11.79922"
"1.40","11.74816"
"1.50","11.70069"
"1.60","11.65511"
"1.70","11.61294"
"1.80","11.57221"
"1.90","11.53378"
"2.00","11.49727"
"2.10","11.46172"
"2.20","11.428"
"2.30","11.39535"
"2.40","11.36386"
"2.50","11.33347"
"2.60","11.30399"
"2.70","11.27508"
"2.80","11.24733"
"2.90","11.22014"
"3.00","11.19404"
"3.10","11.16933"
"3.20","11.14484"
"3.30","11.12121"
"3.40","11.09853"
"3.50","11.07593"
"3.60","11.054"
"3.70","11.03294"
"3.80","11.01191"
"3.90","10.99127"
"4.00","10.97113"
"4.10","10.9515"
"4.20","10.93206"
"4.30","10.91353"
"4.40","10.8948"
"4.50","10.87668"
"4.60","10.85904"
"4.70","10.84115"
"4.80","10.82423"
"4.90","10.80691"
"5.00","10.78987"
"5.10","10.77308"
"5.20","10.75676"
"5.30","10.74069"
"5.40","10.72546"
"5.50","10.70964"
"5.60","10.69459"
"5.70","10.67942"
"5.80","10.66436"
"5.90","10.64982"
"6.00","10.63536"
"6.10","10.62115"
"6.20","10.60708"
"6.30","10.59316"
"6.40","10.57905"
"6.50","10.56594"
"6.60","10.55308"
"6.70","10.53979"
"6.80","10.52678"
"6.90","10.51375"
"7.00","10.50129"
"7.10","10.4883"
"7.20","10.47597"
"7.30","10.46392"
"7.40","10.45201"
"7.50","10.44008"
"7.60","10.42817"
"7.70","10.4162"
"7.80","10.40471"
"7.90","10.39307"
"8.00","10.38116"
"8.10","10.37017"
"8.20","10.35886"
"8.30","10.34795"
"8.40","10.33696"
"8.50","10.32614"
"8.60","10.31563"
"8.70","10.30467"
"8.80","10.294"
"8.90","10.28342"
"9.00","10.27293"
"9.10","10.26283"
"9.20","10.25241"
"9.30","10.24192"
"9.40","10.23174"
"9.50","10.222"
"9.60","10.21213"
"9.70","10.20293"
"9.80","10.19332"
"9.90","10.18403"
"10.00","10.17485"
"10.10","10.16523"
"10.20","10.15595"
"10.30","10.14696"
"10.40","10.13776"
"10.50","10.12884"
"10.60","10.11975"
"10.70","10.11084"
"10.80","10.10211"
"10.90","10.09338"
"11.00","10.08467"
"11.10","10.07595"
"11.20","10.06764"
"11.30","10.05909"
"11.40","10.05113"
"11.50","10.04245"
"11.60","10.03416"
"11.70","10.02591"
"11.80","10.01792"
"11.90","10.00974"
"12.00","10.00173"
"12.10","9.99362"
"12.20","9.98572"
"12.30","9.97753"
"12.40","9.96954"
"12.50","9.96157"
"12.60","9.95354"
"12.70","9.94557"
"12.80","9.93762"
"12.90","9.93026"
"13.00","9.92252"
"13.10","9.91468"
"13.20","9.9073"
"13.30","9.90003"
"13.40","9.89253"
"13.50","9.88508"
"13.60","9.87743"
"13.70","9.86991"
"13.80","9.86267"
"13.90","9.85526"
"14.00","9.84797"
"14.10","9.84093"
"14.20","9.83335"
"14.30","9.82603"
"14.40","9.8191"
"14.50","9.8116"
"14.60","9.80454"
"14.70","9.79766"
"14.80","9.79062"
"14.90","9.78365"
"15.00","9.77682"
"15.10","9.7699"
"15.20","9.76288"
"15.30","9.7561"
"15.40","9.74938"
