"","LIVER, MALE2","TransferredDose_SOBP_F3"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","67.84329"
"0.20","67.2636"
"0.30","66.90846"
"0.40","66.65112"
"0.50","66.44294"
"0.60","66.26744"
"0.70","66.11753"
"0.80","65.98491"
"0.90","65.86524"
"1.00","65.75774"
"1.10","65.6584"
"1.20","65.5663"
"1.30","65.48165"
"1.40","65.40104"
"1.50","65.32579"
"1.60","65.25406"
"1.70","65.1865"
"1.80","65.12169"
"1.90","65.06164"
"2.00","65.00298"
"2.10","64.94775"
"2.20","64.89379"
"2.30","64.84211"
"2.40","64.79175"
"2.50","64.74395"
"2.60","64.69681"
"2.70","64.65135"
"2.80","64.60776"
"2.90","64.56482"
"3.00","64.52373"
"3.10","64.48297"
"3.20","64.44328"
"3.30","64.40486"
"3.40","64.36734"
"3.50","64.3304"
"3.60","64.29464"
"3.70","64.25954"
"3.80","64.2251"
"3.90","64.19092"
"4.00","64.15843"
"4.10","64.1257"
"4.20","64.09373"
"4.30","64.06254"
"4.40","64.0325"
"4.50","64.00265"
"4.60","63.97312"
"4.70","63.94461"
"4.80","63.91612"
"4.90","63.88777"
"5.00","63.8605"
"5.10","63.83327"
"5.20","63.80659"
"5.30","63.7802"
"5.40","63.75431"
"5.50","63.72871"
"5.60","63.703"
"5.70","63.67811"
"5.80","63.6537"
"5.90","63.62924"
"6.00","63.60553"
"6.10","63.58108"
"6.20","63.55798"
"6.30","63.53495"
"6.40","63.51208"
"6.50","63.48911"
"6.60","63.4666"
"6.70","63.44408"
"6.80","63.42277"
"6.90","63.40159"
"7.00","63.37999"
"7.10","63.35822"
"7.20","63.33688"
"7.30","63.31644"
"7.40","63.29596"
"7.50","63.27582"
"7.60","63.2558"
"7.70","63.23584"
"7.80","63.21595"
"7.90","63.19604"
"8.00","63.17677"
"8.10","63.15687"
"8.20","63.1382"
"8.30","63.12013"
"8.40","63.10153"
"8.50","63.08313"
"8.60","63.06464"
"8.70","63.04602"
"8.80","63.02745"
"8.90","63.00944"
"9.00","62.99177"
"9.10","62.97461"
"9.20","62.95708"
"9.30","62.93998"
"9.40","62.92327"
"9.50","62.9065"
"9.60","62.88969"
"9.70","62.87336"
"9.80","62.85661"
"9.90","62.83997"
"10.00","62.82386"
"10.10","62.8083"
"10.20","62.79261"
"10.30","62.77667"
"10.40","62.76145"
"10.50","62.74585"
"10.60","62.73022"
"10.70","62.7149"
"10.80","62.69946"
"10.90","62.68429"
"11.00","62.66919"
"11.10","62.65408"
"11.20","62.63946"
"11.30","62.62471"
"11.40","62.61028"
"11.50","62.59588"
"11.60","62.58153"
"11.70","62.56676"
"11.80","62.55218"
"11.90","62.53817"
"12.00","62.52401"
"12.10","62.50985"
"12.20","62.49569"
"12.30","62.48159"
"12.40","62.46796"
"12.50","62.45398"
"12.60","62.4403"
"12.70","62.42645"
"12.80","62.41302"
"12.90","62.39978"
"13.00","62.38627"
"13.10","62.37234"
"13.20","62.35914"
"13.30","62.34561"
"13.40","62.33226"
"13.50","62.31913"
"13.60","62.30614"
"13.70","62.29278"
"13.80","62.27987"
"13.90","62.26738"
"14.00","62.2544"
"14.10","62.24098"
"14.20","62.22858"
"14.30","62.21585"
"14.40","62.20328"
"14.50","62.19053"
"14.60","62.17785"
"14.70","62.1654"
"14.80","62.15301"
"14.90","62.13993"
"15.00","62.12741"
"15.10","62.11509"
"15.20","62.10301"
"15.30","62.09095"
"15.40","62.07855"
"15.50","62.06639"
"15.60","62.05435"
"15.70","62.04224"
"15.80","62.02979"
"15.90","62.01823"
"16.00","62.00613"
"16.10","61.99446"
"16.20","61.98276"
"16.30","61.97133"
"16.40","61.95941"
"16.50","61.94772"
"16.60","61.93609"
"16.70","61.92444"
"16.80","61.9128"
"16.90","61.90147"
"17.00","61.89016"
"17.10","61.87925"
"17.20","61.86804"
"17.30","61.85684"
"17.40","61.84574"
"17.50","61.83413"
"17.60","61.82285"
"17.70","61.81109"
"17.80","61.8001"
"17.90","61.78909"
"18.00","61.77807"
"18.10","61.76709"
"18.20","61.75636"
"18.30","61.74554"
"18.40","61.73495"
"18.50","61.72439"
"18.60","61.7138"
"18.70","61.70261"
"18.80","61.69146"
"18.90","61.68053"
"19.00","61.66999"
"19.10","61.65951"
"19.20","61.64891"
"19.30","61.63827"
"19.40","61.62769"
"19.50","61.61714"
"19.60","61.6067"
"19.70","61.59623"
"19.80","61.5857"
"19.90","61.57543"
"20.00","61.56521"
"20.10","61.55477"
"20.20","61.54447"
"20.30","61.53389"
"20.40","61.52379"
"20.50","61.51313"
"20.60","61.5028"
"20.70","61.49306"
"20.80","61.48263"
"20.90","61.47244"
"21.00","61.46243"
"21.10","61.4524"
"21.20","61.44241"
"21.30","61.43219"
"21.40","61.42198"
"21.50","61.41184"
"21.60","61.40195"
"21.70","61.39173"
"21.80","61.3818"
"21.90","61.37226"
"22.00","61.36211"
"22.10","61.35254"
"22.20","61.34291"
"22.30","61.33294"
"22.40","61.32275"
"22.50","61.31266"
"22.60","61.3028"
"22.70","61.29308"
"22.80","61.2832"
"22.90","61.27341"
"23.00","61.26333"
"23.10","61.25326"
"23.20","61.24373"
"23.30","61.2346"
"23.40","61.22497"
"23.50","61.21551"
"23.60","61.20617"
"23.70","61.19637"
"23.80","61.1864"
"23.90","61.17621"
"24.00","61.16652"
"24.10","61.15676"
"24.20","61.1473"
"24.30","61.13802"
"24.40","61.12838"
"24.50","61.11895"
"24.60","61.10951"
"24.70","61.09993"
"24.80","61.09031"
"24.90","61.08094"
"25.00","61.07166"
"25.10","61.06226"
"25.20","61.05264"
"25.30","61.04322"
"25.40","61.03396"
"25.50","61.02447"
"25.60","61.01511"
"25.70","61.00602"
"25.80","60.99712"
"25.90","60.98771"
"26.00","60.97876"
"26.10","60.96957"
"26.20","60.96085"
"26.30","60.95141"
"26.40","60.94199"
"26.50","60.93272"
"26.60","60.92322"
"26.70","60.9142"
"26.80","60.90522"
"26.90","60.89605"
"27.00","60.88728"
"27.10","60.87794"
"27.20","60.86896"
"27.30","60.86006"
"27.40","60.85104"
"27.50","60.84242"
"27.60","60.83349"
"27.70","60.82415"
"27.80","60.8152"
"27.90","60.80638"
"28.00","60.79734"
"28.10","60.78846"
"28.20","60.77986"
"28.30","60.77094"
"28.40","60.76221"
"28.50","60.75356"
"28.60","60.74459"
"28.70","60.73562"
"28.80","60.72675"
"28.90","60.71792"
"29.00","60.70882"
"29.10","60.69978"
"29.20","60.69078"
"29.30","60.68203"
"29.40","60.67349"
"29.50","60.66452"
"29.60","60.65566"
"29.70","60.64683"
"29.80","60.63841"
