"","LIVER, MALE2","TransferredDose_VMAT_1arc"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"28.60","54.82154"
"28.70","54.6237"
"28.80","54.4248"
"28.90","54.22472"
"29.00","54.02211"
"29.10","53.81517"
"29.20","53.60895"
"29.30","53.40492"
"29.40","53.20321"
"29.50","53.00214"
"29.60","52.79995"
"29.70","52.59679"
"29.80","52.3941"
"29.90","52.18839"
"30.00","51.97852"
"30.10","51.76988"
"30.20","51.55901"
"30.30","51.34702"
"30.40","51.13183"
"30.50","50.91224"
"30.60","50.68802"
"30.70","50.46211"
"30.80","50.23941"
"30.90","50.01521"
"31.00","49.79127"
"31.10","49.56676"
"31.20","49.34353"
"31.30","49.12085"
"31.40","48.89658"
"31.50","48.67272"
"31.60","48.45426"
"31.70","48.24467"
"31.80","48.03962"
"31.90","47.8359"
"32.00","47.63504"
"32.10","47.43946"
"32.20","47.24194"
"32.30","47.04613"
"32.40","46.85255"
"32.50","46.65672"
"32.60","46.46284"
"32.70","46.27262"
"32.80","46.08333"
"32.90","45.89579"
"33.00","45.7133"
"33.10","45.53602"
"33.20","45.36264"
"33.30","45.19005"
"33.40","45.01954"
"33.50","44.8505"
"33.60","44.68314"
"33.70","44.51807"
"33.80","44.35287"
"33.90","44.18969"
"34.00","44.02918"
"34.10","43.86916"
"34.20","43.71114"
"34.30","43.55387"
"34.40","43.39979"
"34.50","43.24883"
"34.60","43.09862"
"34.70","42.94904"
"34.80","42.80235"
"34.90","42.65731"
"35.00","42.51629"
"35.10","42.37644"
"35.20","42.23738"
"35.30","42.09954"
"35.40","41.96165"
"35.50","41.82742"
"35.60","41.69545"
"35.70","41.56268"
"35.80","41.43205"
"35.90","41.30206"
"36.00","41.17303"
"36.10","41.04571"
"36.20","40.91874"
"36.30","40.79258"
"36.40","40.6659"
"36.50","40.5415"
"36.60","40.41682"
"36.70","40.29272"
"36.80","40.16882"
"36.90","40.04527"
"37.00","39.92283"
"37.10","39.8011"
"37.20","39.67798"
"37.30","39.55663"
"37.40","39.43434"
"37.50","39.31066"
"37.60","39.18916"
"37.70","39.06618"
"37.80","38.94266"
"37.90","38.81855"
"38.00","38.69531"
"38.10","38.56983"
"38.20","38.44482"
"38.30","38.31904"
"38.40","38.19364"
"38.50","38.06522"
"38.60","37.93738"
"38.70","37.80835"
"38.80","37.67926"
"38.90","37.54653"
"39.00","37.41442"
"39.10","37.27856"
"39.20","37.14445"
"39.30","37.00786"
"39.40","36.87023"
"39.50","36.72981"
"39.60","36.58667"
"39.70","36.44224"
"39.80","36.29328"
"39.90","36.14104"
"40.00","35.98609"
"40.10","35.82542"
"40.20","35.66038"
"40.30","35.48916"
"40.40","35.31114"
"40.50","35.12651"
"40.60","34.93594"
"40.70","34.73555"
"40.80","34.52749"
"40.90","34.30887"
"41.00","34.08181"
"41.10","33.84374"
"41.20","33.59357"
"41.30","33.33046"
"41.40","33.05025"
"41.50","32.75"
"41.60","32.43083"
"41.70","32.08785"
"41.80","31.71253"
"41.90","31.3061"
"42.00","30.86988"
"42.10","30.38911"
"42.20","29.842"
"42.30","29.2333"
"42.40","28.54942"
"42.50","27.74166"
"42.60","26.70523"
"42.70","25.34557"
"42.80","23.66718"
"42.90","21.70411"
"43.00","19.71509"
"43.10","17.83099"
"43.20","16.11469"
"43.30","14.42113"
"43.40","12.76594"
"43.50","11.15786"
"43.60","9.62992"
"43.70","8.25756"
"43.80","7.01657"
"43.90","5.91881"
"44.00","4.96189"
"44.10","4.13232"
"44.20","3.42224"
"44.30","2.80624"
"44.40","2.2832"
"44.50","1.83991"
"44.60","1.47681"
"44.70","1.17894"
"44.80","0.93474"
"44.90","0.74486"
"45.00","0.59065"
"45.10","0.46225"
"45.20","0.36039"
"45.30","0.2788"
"45.40","0.21175"
"45.50","0.16199"
"45.60","0.12105"
"45.70","0.08705"
"45.80","0.0609"
"45.90","0.04402"
"46.00","0.03058"
"46.10","0.0212"
"46.20","0.01624"
"46.30","0.01381"
"46.40","0.01152"
"46.50","0.00914"
"46.60","0.00729"
"46.70","0.00575"
"46.80","0.00457"
"46.90","0.00371"
"47.00","0.0029"
"47.10","0.00213"
"47.20","0.00135"
"47.30","7.2E-4"
"47.40","1.3E-4"
"47.50","5.0E-5"
"47.60","0.0"
