,"LIVER, MALE2",TransferredDose_PBS_F3_ScaledLQ
Absolute Dose(Gy),Liver (Volume: 2225.8 mL),
32,7.94246,
32.1,7.92759,
32.2,7.91196,
32.3,7.89676,
32.4,7.88098,
32.5,7.86556,
32.6,7.85015,
32.7,7.83459,
32.8,7.81859,
32.9,7.80261,
33,7.78634,
33.1,7.76992,
33.2,7.75379,
33.3,7.73727,
33.4,7.72105,
33.5,7.70475,
33.6,7.68775,
33.7,7.67125,
33.8,7.65443,
33.9,7.63737,
34,7.62028,
34.1,7.60318,
34.2,7.58618,
34.3,7.56912,
34.4,7.55037,
34.5,7.53312,
34.6,7.51525,
34.7,7.49706,
34.8,7.47891,
34.9,7.46028,
35,7.44198,
35.1,7.42273,
35.2,7.40356,
35.3,7.38416,
35.4,7.36392,
35.5,7.34397,
35.6,7.32383,
35.7,7.30241,
35.8,7.28069,
35.9,7.25841,
36,7.23687,
36.1,7.21556,
36.2,7.19423,
36.3,7.17287,
36.4,7.15137,
36.5,7.12962,
36.6,7.10776,
36.7,7.08597,
36.8,7.06401,
36.9,7.04277,
37,7.02101,
37.1,6.99937,
37.2,6.97722,
37.3,6.95496,
37.4,6.93191,
37.5,6.90903,
37.6,6.88568,
37.7,6.86167,
37.8,6.83763,
37.9,6.81332,
38,6.78843,
38.1,6.76267,
38.2,6.73706,
38.3,6.71114,
38.4,6.68447,
38.5,6.65636,
38.6,6.62896,
38.7,6.60097,
38.8,6.57164,
38.9,6.54215,
39,6.5123,
39.1,6.48109,
39.2,6.44962,
39.3,6.41665,
39.4,6.38297,
39.5,6.34735,
39.6,6.31073,
39.7,6.27233,
39.8,6.23302,
39.9,6.19416,
40,6.15392,
40.1,6.11341,
40.2,6.07274,
40.3,6.03152,
40.4,5.98873,
40.5,5.94344,
40.6,5.89756,
40.7,5.84859,
40.8,5.79827,
40.9,5.74461,
41,5.68766,
41.1,5.62865,
41.2,5.56595,
41.3,5.4977,
41.4,5.42367,
41.5,5.34054,
41.6,5.25073,
41.7,5.14921,
41.8,5.03602,
41.9,4.90432,
42,4.71841,
42.1,4.30093,
42.2,3.18339,
42.3,1.33248,
42.4,0.17133,
42.5,0.01896,
42.6,0.00354,
42.7,0,
