"","LIVER, MALE2","TransferredDose_IMRT_F3"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","99.98602"
"0.20","98.22847"
"0.30","96.06715"
"0.40","94.58553"
"0.50","93.17065"
"0.60","90.85365"
"0.70","87.96165"
"0.80","84.84178"
"0.90","81.24104"
"1.00","78.0021"
"1.10","75.7864"
"1.20","74.17769"
"1.30","72.97988"
"1.40","72.10077"
"1.50","71.42937"
"1.60","70.89442"
"1.70","70.45836"
"1.80","70.08576"
"1.90","69.75715"
"2.00","69.46063"
"2.10","69.19013"
"2.20","68.94156"
"2.30","68.70845"
"2.40","68.48703"
"2.50","68.2729"
"2.60","68.06513"
"2.70","67.86228"
"2.80","67.66374"
"2.90","67.47335"
"3.00","67.28533"
"3.10","67.09456"
"3.20","66.90331"
"3.30","66.71079"
"3.40","66.51071"
"3.50","66.30485"
"3.60","66.09295"
"3.70","65.87437"
"3.80","65.65589"
"3.90","65.43241"
"4.00","65.20626"
"4.10","64.97062"
"4.20","64.72743"
"4.30","64.46379"
"4.40","64.15949"
"4.50","63.82391"
"4.60","63.4463"
"4.70","63.0272"
"4.80","62.55882"
"4.90","62.05368"
"5.00","61.50262"
"5.10","60.8857"
"5.20","60.15808"
"5.30","59.34295"
"5.40","58.4616"
"5.50","57.51794"
"5.60","56.51296"
"5.70","55.46985"
"5.80","54.38862"
"5.90","53.25388"
"6.00","52.08877"
"6.10","50.89692"
"6.20","49.69193"
"6.30","48.48696"
"6.40","47.27693"
"6.50","46.06761"
"6.60","44.82757"
"6.70","43.59741"
"6.80","42.38109"
"6.90","41.16216"
"7.00","39.94267"
"7.10","38.71483"
"7.20","37.47488"
"7.30","36.24193"
"7.40","34.99171"
"7.50","33.72331"
"7.60","32.46104"
"7.70","31.17427"
"7.80","29.89079"
"7.90","28.63462"
"8.00","27.38833"
"8.10","26.16295"
"8.20","24.95291"
"8.30","23.7499"
"8.40","22.56585"
"8.50","21.41198"
"8.60","20.27568"
"8.70","19.17207"
"8.80","18.09264"
"8.90","17.04233"
"9.00","16.0253"
"9.10","15.03662"
"9.20","14.0755"
"9.30","13.17915"
"9.40","12.31978"
"9.50","11.50979"
"9.60","10.73758"
"9.70","10.00237"
"9.80","9.28148"
"9.90","8.59119"
"10.00","7.93898"
"10.10","7.31914"
"10.20","6.72378"
"10.30","6.15202"
"10.40","5.61134"
"10.50","5.08756"
"10.60","4.56181"
"10.70","4.14697"
"10.80","3.78827"
"10.90","3.45922"
"11.00","3.16276"
"11.10","2.8998"
"11.20","2.65758"
"11.30","2.42859"
"11.40","2.22436"
"11.50","2.03519"
"11.60","1.86033"
"11.70","1.70125"
"11.80","1.55585"
"11.90","1.42604"
"12.00","1.31298"
"12.10","1.22132"
"12.20","1.14774"
"12.30","1.07992"
"12.40","1.01605"
"12.50","0.95455"
"12.60","0.89655"
"12.70","0.84196"
"12.80","0.7905"
"12.90","0.74221"
"13.00","0.69592"
"13.10","0.65193"
"13.20","0.61026"
"13.30","0.57104"
"13.40","0.53283"
"13.50","0.49659"
"13.60","0.46238"
"13.70","0.43033"
"13.80","0.40004"
"13.90","0.37142"
"14.00","0.34452"
"14.10","0.31859"
"14.20","0.29342"
"14.30","0.26938"
"14.40","0.24628"
"14.50","0.22423"
"14.60","0.20279"
"14.70","0.18253"
"14.80","0.16374"
"14.90","0.14541"
"15.00","0.12822"
"15.10","0.11187"
"15.20","0.09696"
"15.30","0.08275"
"15.40","0.06976"
"15.50","0.05815"
"15.60","0.04812"
"15.70","0.03967"
"15.80","0.03269"
"15.90","0.02743"
"16.00","0.02363"
"16.10","0.02084"
"16.20","0.01869"
"16.30","0.01661"
"16.40","0.01483"
"16.50","0.01327"
"16.60","0.01163"
"16.70","0.01025"
"16.80","0.00876"
"16.90","0.00737"
"17.00","0.00625"
"17.10","0.00506"
"17.20","0.00405"
"17.30","0.00316"
"17.40","0.00275"
"17.50","0.00236"
"17.60","0.00193"
"17.70","0.00158"
"17.80","0.00122"
"17.90","8.6E-4"
"18.00","5.7E-4"
"18.10","2.6E-4"
"18.20","1.1E-4"
"18.30","0.0"
